m,Zone,ES638,ES639,ES640,ES641,ES643,ES644,ES646,ES648,ES651,ES653,ES655,ES656,ES658,ES660,ES662,ES664,ES666,ES673,ES675
4.0,0.8975706573584241,0.0010343760130713403,0.0009847032146424318,0.001893930280090433,0.014594213076135973,0.0012438907038742073,0.0020595273856279825,0.011847332811638878,0.0018987885951767679,0.003844556587562938,0.008057873206989533,0.0009129056892898947,0.005119237989834757,0.0024782970527905206,0.0025915607814423988,0.007933538590115953,0.008627015466006228,0.010891408650591,0.010081023690633163,0.001450884553447628
4.1,0.7066962876839278,0.0009236762360183213,0.0008745157233388911,0.001682001017380799,0.013011587389193068,0.0011107684911999846,0.0018328615580044878,0.010579421448316412,0.001689813229560757,0.003437930827668686,0.007214561692932941,0.0008152057668267333,0.004583474739517187,0.0022235337222133353,0.0023174601542139783,0.0070944350200729854,0.0077037451304111885,0.009710322489419148,0.009044717260715337,0.0012974293966232999
4.2,0.5535160179709053,0.0008235109355725109,0.0007748139582079353,0.0014902394905043487,0.011579568448902263,0.0009903145320006065,0.0016277658357806604,0.009432167804029255,0.0015007244993036444,0.0030700006249790596,0.006451501879953975,0.0007268032212428526,0.004098696103421282,0.0019930143279636324,0.0020694436503905767,0.006335182712290548,0.006868335583802176,0.008641631536866406,0.008107028426374426,0.0011585774287380711
4.3,0.43058597204924115,0.0007328776237403278,0.0006846000704732136,0.0013167264856468281,0.010283824128390937,0.0008813232825664325,0.001442187552033432,0.008394089778700119,0.0013296299408381005,0.0027370836103599314,0.005761056808971087,0.0006468132901489279,0.003660050254017269,0.001784431754463518,0.0018450290374407042,0.005648182814478844,0.006112425766645885,0.007674639974680192,0.007258572482588248,0.0010329389726275889
4.4,0.33193229936271573,0.0006508692118740472,0.0006029711692243419,0.0011597254263358882,0.009111386182984712,0.0007827039218399013,0.0012742693769240453,0.007454797938541435,0.0011748171823161356,0.002435847838431719,0.005136316273647273,0.0005744354074290266,0.003263147076210351,0.0015956984372103788,0.0016419702984896024,0.0050265596007519325,0.0054284502794221525,0.006799669826289058,0.006490857797095498,0.0009192565963945559
4.5,0.2527608725437415,0.0005766649322237323,0.0005291102849812007,0.0010176649932000666,0.008050520459655956,0.00069346943411175,0.0011223307289167578,0.006604891535110007,0.0010347368056160963,0.002163278440340127,0.004571027660722473,0.0005089451909058417,0.002904014229593273,0.0014249254697296869,0.0014582351534274498,0.00446409165705206,0.004809563665562744,0.0060079640963602845,0.005796200823285951,0.000816392528607666
4.6,0.18922431426000386,0.000509522123417723,0.00046227819318878387,0.00088912339767638,0.007090609457676315,0.0006127267306360477,0.000984850954953969,0.005835864419456884,0.0009079868392453277,0.0019166474499353148,0.004059533371758466,0.00044968719248038704,0.002579057391928371,0.0012704036987641182,0.0012919847191669488,0.003955149615146671,0.004249571899821177,0.005291599127847258,0.005167649200683445,0.0007233172711027003
4.7,0.13823503187946573,0.00044876879765801136,0.00040180601580939106,0.0007728141522725045,0.0062220460651007435,0.0005396677112978502,0.0008604541112493117,0.00514001990972967,0.0007932987269382569,0.0016934865013697726,0.003596714199992135,0.0003960683381871197,0.00228502428596253,0.0011305866184932892,0.0011415551054833198,0.0034946398120190496,0.0037428703963861797,0.004643405299366519,0.0045989121733854815,0.0006390992954188751
4.8,0.09731517427446656,0.0003937969152404964,0.0003470885269664088,0.0006675731949675511,0.005436137407562111,0.0004735611768756365,0.0007478951923797669,0.0045103937601936005,0.0006895246315189088,0.0014915621248632722,0.003177938095593547,0.00034755199251035334,0.0020189721295433057,0.001004074892583706,0.0010054407622416784,0.0030779533107768045,0.003284387916303118,0.004056895269217165,0.004084297630063745,0.0005628957197489075
4.9,0.06447621933650709,0.00034405629908925567,0.0002975780956403132,0.0005723472388881042,0.004725017847062746,0.00041374551095373503,0.0006460476708529288,0.003940684460719458,0.0005956259469606484,0.0013088533933866087,0.00279901380655437,0.00030365258755564787,0.0017782381832660349,0.0008896023491604054,0.0008822794113452507,0.0027009197728623327,0.002869535812810036,0.003526199047884628,0.0036186551354007506,0.0004939438730945859
5.0,0.03812234069335182,0.0002990491283994494,0.00025277920479336224,0.00048618323065917183,0.004081570260025636,0.00035962205824286044,0.0005538922224412229,0.003425190169152202,0.0005106629036679793,0.0011435316965446394,0.00245614893122905,0.0002639307633231173,0.0015604131008829017,0.0007860233085332568,0.0007708384125983067,0.0023597657199028402,0.0024941621066185706,0.0030460052492126567,0.0031973243828020627,0.0004315536621990784
5.1,0.016972857682997795,0.0002583249562793812,0.00021224349206853225,0.0004082188119256754,0.003499354806729507,0.0003106491330367611,0.00047050652444242865,0.002958751645358208,0.00043378516294656277,0.000993942439228828,0.002145911962704466,0.00022798897044487595,0.0013633168157558774,0.000692301116849546,0.000670002427028773,0.002051076767470469,0.0021545099315096947,0.0026115079322654297,0.002816088552481519,0.00037510066486166817
5.2,,0.0002214762015266068,0.00017556526242834973,0.00033767368858018417,0.0029725444792284028,0.00026633659783960615,0.0003950560247640735,0.0025367006158159475,0.0003642233065277584,0.0008585884818732725,0.0018651979451253784,0.00019546749137734493,0.0011849767220170613,0.0006074977709137857,0.0005787622542009248,0.0017717634527753374,0.0018471799343538827,0.002218358501855349,0.002471132108111482,0.00032401988051049507
5.3,,0.0001881340694182661,0.000142377427822597,0.00027384182131722157,0.002495866782697625,0.0002262409579051848,0.00032678558944558756,0.0021548130519655094,0.0003012811359719793,0.0007361151565787224,0.0016111973982526155,0.0001660408402271696,0.00102360793206614,0.0005307645303364622,0.00049620473179822,0.0015190303142835289,0.0015690962532424186,0.0018626221863407837,0.0021590026096528336,0.000277800075486928
5.4,,0.00015796486068954117,0.00011234783324772313,0.00021608435935458828,0.0020645509665333864,0.00018996092259242344,0.0002650119450238177,0.0018092668947110356,0.00024432870488070907,0.0006252967091409232,0.001381368199240543,0.00013941450517900004,0.0008775954128153609,0.0004613334230549445,0.00042150359638791057,0.001290347913798476,0.0013174757332275859,0.0015407386571089582,0.00187657616017465,0.00023597866644727795
5.5,,0.0001306666317592538,8.517593242792766e-05,0.00016382324660000914,0.0016742802770772652,0.00015713338911377107,0.0002091168401025521,0.0014966038019686503,0.00019279601418121332,0.0005250240312905516,0.0011734101402171866,0.00011532200092225392,0.0007454778218955603,0.0003985095592109584,0.00035391121389889176,0.001083427520993316,0.0010898000715724994,0.0012494863956105313,0.0016210261408437477,0.00019813709067321539
5.6,,0.00010596617277701802,6.058977984701471e-05,0.00011653543627146948,0.0013211487540946737,0.00012742980848045817,0.00015854085768474499,0.0012136945364164924,0.00014616730738423577,0.00043429356036486934,0.0009852419070307229,9.352220157655938e-05,0.0006259328820505567,0.0003416641764593233,0.0002927510970486287,0.0008961982070285078,0.0008837906137308819,0.00098595045131916,0.001389794921173334,0.00016389661695540036
5.7,,8.361627324722863e-05,3.834330902626328e-05,7.374765606921944e-05,0.0010016221386119992,0.00010055289727378839,0.00011277781633918423,0.0009577076470358277,0.00010397590871970276,0.0003521972353152884,0.0008149802487578945,7.379692742289911e-05,0.0005177641473419393,0.0002902283471030678,0.00023741113483105914,0.0007267861179999467,0.0006973855478064847,0.0007474932679268872,0.0011805682613974509,0.0001329145551242445
5.8,,6.339324786333091e-05,1.8213869808402245e-05,3.5031671507525404e-05,0.0007125025008648876,7.623366233276356e-05,7.136970416659422e-05,0.0007260811309975705,6.57995524887609e-05,0.00027791340852718476,0.0006609211294957877,5.594876128764971e-05,0.0004198890287159774,0.00024368728407381541,0.00018733746630390596,0.0005734957207792655,0.0005287192692466305,0.0005317282857940957,0.0009912521507815528,0.00010488082629151097
