ID,Name,Mmax,NMmin_Mmax,Beta,b,a
ES638,Norte de Cubillas,6.1,0.0010343760130713403,1.0,0.43429448190325176,-1.2481436315814982
ES639,E de Cubillas,5.8,0.0009847032146424318,1.0,0.43429448190325176,-1.2695167166761194
ES640,Oeste de Cubillas,5.8,0.001893930280090433,1.0,0.43429448190325176,-0.9854580847996306
ES641,Obeilar Pinos Puente,6.0,0.014594213076135973,1.0,0.43429448190325176,-0.0986413897060201
ES643,Tocon Obeilar,6.1,0.0012438907038742073,1.0,0.43429448190325176,-1.1680398502232114
ES644,Alitaje,5.9,0.0020595273856279825,1.0,0.43429448190325176,-0.9490545012229654
ES646,Pinos Puente,6.1,0.011847332811638878,1.0,0.43429448190325176,-0.1892014836920679
ES648,Pedro Ruiz,5.9,0.0018987885951767679,1.0,0.43429448190325176,-0.9843454578653554
ES651,Atarfe,6.2,0.003844556587562938,1.0,0.43429448190325176,-0.677975814772126
ES653,El Fargue Jun,6.3,0.008057873206989533,1.0,0.43429448190325176,-0.3566016430325767
ES655,Escoznar,6.1,0.0009129056892898947,1.0,0.43429448190325176,-1.3023961587481951
ES656,Santa Fe,6.3,0.005119237989834757,1.0,0.43429448190325176,-0.5536167523172255
ES658,Granada,6.5,0.0024782970527905206,1.0,0.43429448190325176,-0.8686687119708913
ES660,Belicena Alhendin,6.2,0.0025915607814423988,1.0,0.43429448190325176,-0.8492606733208465
ES662,Huenes,6.2,0.007933538590115953,1.0,0.43429448190325176,-0.3633551338230536
ES664,Dilar,6.1,0.008627015466006228,1.0,0.43429448190325176,-0.3269614957707956
ES666,Padul Niguelas,6.0,0.010891408650591,1.0,0.43429448190325176,-0.2257380191128504
ES673,Ventas de Zafarraya,6.5,0.010081023690633163,1.0,0.43429448190325176,-0.2593174370414244
ES675,Albunuelas,6.2,0.001450884553447628,1.0,0.43429448190325176,-1.1011892152871783
Z,Zone,5.1,0.8975706573584241,2.2,0.955447860187154,3.7748600872948197
