m,Zone,ES638,ES639,ES640,ES641,ES643,ES644,ES646,ES648,ES651,ES653,ES655,ES656,ES658,ES660,ES662,ES664,ES666,ES673,ES675
4.0,0.6726297819606528,0.003188161780431283,0.0023705548372741658,0.004559409901549567,0.04135218505458994,0.0038339295875106506,0.005373883404318153,0.036515941198175784,0.004954470909750827,0.01291013239580914,0.029521775940143335,0.0028137650051360806,0.0187554448969338,0.010848455588383705,0.008702536180229975,0.02664105241603007,0.026590254066548698,0.03086042006340545,0.04412850254174993,0.004872112361835969
4.1,0.5232458304576492,0.0026030626343333057,0.001931013262851421,0.003714017010799084,0.03374218933575929,0.00313031757458802,0.0043815891024666116,0.029814447520798357,0.004039621650370821,0.010546160158119142,0.024125979810397123,0.002297376059025955,0.015327447977245357,0.008871055760071954,0.007109016199425236,0.02176281365259313,0.02171034645196043,0.02518121195738146,0.03608498956068129,0.003979980661774916
4.2,0.40336240126257333,0.0021240239698232244,0.0015711470586152047,0.0030218678527081672,0.027511651809960836,0.0025542487813731605,0.0035691672414367094,0.024327728555571804,0.0032906064272857946,0.008610703387699764,0.019708275581634745,0.0018745925482960665,0.012520841477639835,0.007252097709502002,0.005804352385496158,0.017768849556110196,0.017715016015717597,0.02053146962784986,0.029499518120298437,0.0032495650031391893
4.3,0.3071536957693204,0.0017318202832754144,0.0012765135302135724,0.0024551840512621,0.02241051912938324,0.002082603544479633,0.0029040124793386804,0.01983558300524461,0.0026773646296225175,0.007026085408504429,0.016091365271544332,0.0015284466861672313,0.010222986424624245,0.005926606965557202,0.004736183998604412,0.014498868323630303,0.014443916118857114,0.016724582588773875,0.024107790128540238,0.0026515512408844103
4.4,0.22994440108334957,0.0014107110636281648,0.0010352879996232808,0.0019912225957470675,0.01823406492826324,0.0016964530844921519,0.0023594298200527554,0.01615772529588932,0.0021752847108027673,0.00572870993705692,0.013130089569548493,0.0012450464237916624,0.008341661826604743,0.004841386930569381,0.0038616416907904395,0.011821634126611169,0.01176576603690722,0.013607767096388383,0.019693416609456407,0.0021619389829625572
4.5,0.16798249072043345,0.001147809070406089,0.0008377892393014557,0.0016113630838740882,0.01481467343498456,0.0013802998275851924,0.0019135632493023794,0.013146550083795207,0.0017642164407621406,0.004666508740293802,0.010705602083981906,0.0010130179135544154,0.006801363521684103,0.003952883914068489,0.00314562700851535,0.00962970015631957,0.009573082203456526,0.011055934401102491,0.016079233253809406,0.0017610783703179882
4.6,0.11825689289652705,0.0009325631235096763,0.0006760909305311998,0.0013003604196544889,0.012015112462624057,0.0011214554334697006,0.001548518576059627,0.010681208334747635,0.0014276622064653152,0.0037968519545475967,0.008720599619095831,0.0008230490366323118,0.005540273930531689,0.003225439170256654,0.0025594037684813723,0.007835096406125513,0.007777864517233521,0.008966670496762053,0.013120190193278623,0.0014328814590481979
4.7,0.07835116590292003,0.0007563346473101929,0.000543703552420292,0.0010457329741687174,0.009723025799435615,0.0009095315677455099,0.0012496452758284818,0.008662757227955327,0.0011521149047678913,0.00308483719943423,0.007095417056158005,0.0006675156749684993,0.004507781099868668,0.00262985778733297,0.0020794447736965393,0.006365799126252562,0.006308064589053247,0.00725612588698276,0.010697530639940075,0.0011641765547264148
4.8,0.046326069844191436,0.0006120509742776045,0.00043531393464152905,0.0008372616539718292,0.007846423959563342,0.0007360229815659461,0.0010049485136553347,0.007010189233240175,0.0009265158549405537,0.002501888822777628,0.005764830112514711,0.000540175728644736,0.0036624474670723145,0.002142236993172636,0.0016864875844498017,0.005162840257806751,0.005104694186980247,0.005855650410444676,0.008714024759383638,0.0009441795860552944
4.9,0.02062532825050785,0.0004939214939987759,0.00034657202125168755,0.0006665797729918693,0.0063099923219771875,0.0005939661661376556,0.0008046077492855699,0.005657180994414465,0.0007418109749817403,0.0020246110593519803,0.004675437662109908,0.0004359185984941712,0.00297034682529081,0.0017430068531532616,0.0013647614489704124,0.004177940837522273,0.004119457831459264,0.004709038068871404,0.007090067496061059,0.0007640613022203143
