ID,Name,Mmax,NMmin_Mmax,Beta,b,a
ES638,Norte de Cubillas,6.1,0.003188161780431283,2.0,0.8685889638065035,0.9778962063961072
ES639,E de Cubillas,5.8,0.0023705548372741658,2.0,0.8685889638065035,0.849205861390212
ES640,Oeste de Cubillas,5.8,0.004559409901549567,2.0,0.8685889638065035,1.1332644932667009
ES641,Obeilar Pinos Puente,6.0,0.04135218505458994,2.0,0.8685889638065035,2.0908543178952113
ES643,Tocon Obeilar,6.1,0.0038339295875106506,2.0,0.8685889638065035,1.057999987754394
ES644,Alitaje,5.9,0.005373883404318153,2.0,0.8685889638065035,1.2046440946565165
ES646,Pinos Puente,6.1,0.036515941198175784,2.0,0.8685889638065035,2.0368383542855373
ES648,Pedro Ruiz,5.9,0.004954470909750827,2.0,0.8685889638065035,1.1693531380141264
ES651,Atarfe,6.2,0.01291013239580914,2.0,0.8685889638065035,1.585286551285967
ES653,El Fargue Jun,6.3,0.029521775940143335,2.0,0.8685889638065035,1.944498334996429
ES655,Escoznar,6.1,0.0028137650051360806,2.0,0.8685889638065035,0.9236436792294103
ES656,Santa Fe,6.3,0.0187554448969338,2.0,0.8685889638065035,1.7474832257117805
ES658,Granada,6.5,0.010848455588383705,2.0,0.8685889638065035,1.5097237706286464
ES660,Belicena Alhendin,6.2,0.008702536180229975,2.0,0.8685889638065035,1.414001692737246
ES662,Huenes,6.2,0.02664105241603007,2.0,0.8685889638065035,1.8999072322350392
ES664,Dilar,6.1,0.026590254066548698,2.0,0.8685889638065035,1.8990783422068098
ES666,Padul Niguelas,6.0,0.03086042006340545,2.0,0.8685889638065035,1.9637576884883812
ES673,Ventas de Zafarraya,6.5,0.04412850254174993,2.0,0.8685889638065035,2.1190750455581133
ES675,Albunuelas,6.2,0.004872112361835969,2.0,0.8685889638065035,1.1620731507709143
Z,Zone,4.9,0.6726297819606528,2.2,0.955447860187154,3.649567533365689
