m,Zone,M01,M02,P01,P02
4.5,2.122683514286486,0.2714106531594295,0.33991367433714337,0.06260032961972109,0.08664980195504812
4.6,1.5052259549500284,0.24327205658232992,0.3043394129231455,0.056159177699670715,0.07762626377446945
4.7,1.0300855563690459,0.21793818805280515,0.2723110329992289,0.050360050672345745,0.06950215107000103
4.8,0.664459781852171,0.19512948496369759,0.24347509713501708,0.04513895440005229,0.062187813177913484
4.9,0.38310671780981476,0.17459425024418485,0.2175133969447424,0.04043827339132274,0.05560253540718512
5.0,0.16660243347531803,0.15610587484914268,0.19413944161540556,0.03620613500630799,0.04967364834215615
5.1,,0.13946033709820566,0.1730952964425677,0.032395837035300565,0.04433572592586607
5.2,,0.12447395126940165,0.15414873648659633,0.0289653323336419,0.03952986347481717
5.3,,0.11098134060279007,0.13709068393958435,0.02587676482589111,0.03520302765796131
5.4,,0.09883361234593052,0.12173290092394425,0.023096051758999907,0.03130747126684136
5.5,,0.08789671470256588,0.1079059122624047,0.020592507594601715,0.02780020631879845
5.6,,0.07804995755322874,0.09545713529689843,0.01833850539001628,0.024642529678868173
5.7,,0.0691846806237289,0.08424919611864608,0.016309171931264514,0.02179959596554114
5.8,,0.06120305440458188,0.07415841362881011,0.014482113253845484,0.01924003302734558
5.9,,0.05401700058936634,0.06507343470112671,0.01283716752236111,0.016935595746985166
6.0,,0.047547220118903194,0.05689400538535386,0.01135618254198212,0.014860854352714677
6.1,,0.041722318105595506,0.04952986459160256,0.010022815446564977,0.012992913797428141
6.2,,0.03647801598135249,0.04289974804721037,0.008822352352951302,0.011311161108770259
6.3,,0.03175644217504521,0.03693049153468912,0.007741545991311126,0.009797037922246175
6.4,,0.02750549349202583,0.03155622351485852,0.006768469519759248,0.008433835687202093
6.5,,0.023678260148447695,0.026717638225653886,0.005892384910069373,0.0072065112857475
6.6,,0.020232508115564467,0.022361341235157803,0.0051036244521051625,0.006101521029949418
6.7,,0.01713021306160822,0.018439260226945427,0.004393484069353608,0.005106671205435534
6.8,,0.014337140748233324,0.014908114515681959,0.003754127268283588,0.00421098351213504
6.9,,0.011822469251145159,0.011728937439006139,0.00317849866159794,0.0034045739172778805
7.0,,0.009558448836067964,0.00886664635523078,0.0026602461110966863,0.002678543583779124
7.1,,0.007520095736738026,0.006289655501727799,0.0021936506309875297,0.002024880670388707
7.2,,0.0056849164557215654,0.003969527441838557,0.001773563278117344,0.0014363719199581334
7.3,,0.004032659545680203,0.0018806592539797609,0.0013953483326999633,0.0009065230601888832
7.4,,0.002545092131957365,,0.001054832142532072,0.0004294871384742593
7.5,,0.0012057987103824641,,0.0007482570661862709,
7.6,,,,0.0004722400069383897,
7.7,,,,0.00022373507984537602,
