ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.2615289231872405,1.03,0.44732331636034933,1.4304746492761253
M02,Motagua GAP,7.3,0.3287070317870022,1.03,0.44732331636034933,1.5297639183439877
P01,1816 Earthquake,7.7,0.0601029839745223,1.03,0.44732331636034933,0.7918509578788675
P02,1785 Earthquake,7.4,0.08364454866935646,1.03,0.44732331636034933,0.9353925657524618
Z,Zone,5.0,2.14471773856774,2.4400000000000013,1.059678535843935,5.099923555068487
