m,Zone,M01,M02,P01,P02
4.5,2.14471773856774,0.2615289231872405,0.3287070317870022,0.0601029839745223,0.08364454866935646
4.6,1.540628418931874,0.23483661568971603,0.29482660076208045,0.0540172179129574,0.07506774207680231
4.7,1.0673319070069098,0.2107567651117362,0.2642621500613184,0.04852708419452133,0.0673303735033251
4.8,0.696509942573952,0.18903368238793614,0.236689134654515,0.04357428647909978,0.06035028460942313
4.9,0.40597551892766637,0.16943670351562581,0.21181477371581622,0.03910623406582035,0.05405335814093539
5.0,0.17834539067311375,0.15175774027616723,0.189374941764901,0.035075483464871805,0.04837273092368289
5.1,,0.13580907067466347,0.16913136408158802,0.03143923462437929,0.04324808388470616
5.2,,0.12142134563600232,0.15086908661370307,0.028158876463080122,0.0386250015612731
5.3,,0.10844179079159062,0.13439419351272017,0.02519957688309189,0.03445439429667851
5.4,,0.09673258426266411,0.11953174806109892,0.022529912909371973,0.03069197698748975
5.5,,0.08616939321485363,0.10612393512729372,0.020121537028547392,0.02729779884737683
5.6,,0.0766400536445853,0.09402838542431372,0.017948876184173228,0.024235819194379636
5.7,,0.06804337937878148,0.08311666377816909,0.01598886023223617,0.021473524757159294
5.8,,0.06028808764136545,0.0732729053540599,0.014220676973539697,0.018981584436644883
5.9,,0.053291829777824165,0.06439258535923519,0.012625551161811176,0.01673353785720267
6.0,,0.04698031684569134,0.05638140915875646,0.011186545140954261,0.01470551440024497
6.1,,0.04128653078613691,0.04915431101899144,0.009888378994536935,0.0128759797368702
6.2,,0.03615001280057981,0.04263455084711132,0.008717268297793308,0.011225507168120392
6.3,,0.03151622137603582,0.036752899335427774,0.007660777749328154,0.009736571344859868
6.4,,0.02733595314246734,0.03144690285811972,0.006707689128329453,0.008393362176913636
6.5,,0.023564820412577278,0.026660220314742206,0.0058478821752082225,0.007181616955481676
6.6,,0.0201627798563645,0.022342024878868286,0.00507222713081061,0.006088468906240582
6.7,,0.017093707305726857,0.018446464299401603,0.004372487793142513,0.005102310565011479
6.8,,0.014325014174224928,0.014932174023833426,0.0037412340622260325,0.0042126705252649175
6.9,,0.011827301419004023,0.011761837973599577,0.003171763044455431,0.0034101022487203745
7.0,,0.009574047370510411,0.008901792307682774,0.0026580278787086,0.00268608375838897
7.1,,0.007541326115257892,0.006321667967070316,0.002194573528462386,0.002032927148961642
7.2,,0.005707553441325392,0.0039940682044676094,0.0017764788581279267,0.0014436969536895192
7.3,,0.004053257648937552,0.0018942776751545275,0.0013993043785503474,0.0009121365009447545
7.4,,0.0025608727925075197,,0.0010590451068145635,0.00043260147848766015
7.5,,0.0012145521587066323,,0.0007520880398045324,
7.6,,,,0.0004751737899540101,
7.7,,,,0.0002253619758224537,
