m,Zone,M01,M02,P01,P02
4.5,1.783994994516743,0.34647924008144637,0.42384826394577535,0.08184609155165185,0.10931800172064647
4.6,1.5279609089483281,0.3068940677315107,0.3750801425369605,0.07254693294745508,0.09678690788469639
4.7,1.3024630684556031,0.27171488132205335,0.33174010554751604,0.06428280740326811,0.08565057425774412
4.8,1.1038595272357177,0.24045127722577497,0.29322398575482556,0.05693851165383758,0.07575375852287228
4.9,0.928942700986328,0.21266743567490623,0.25899486213302975,0.050411665012084356,0.06695849744583744
5.0,0.7748875622046634,0.18797604536217918,0.22857557508588205,0.044611282165537273,0.05914218364496157
5.1,0.639206014043023,0.16603290425769182,0.2015420747637309,0.039456504826157354,0.052195856424126046
5.2,0.5197067058269533,0.14653212137616833,0.17751750973907918,0.03487547455254314,0.04602268284280005
5.3,0.4144596412289947,0.12920185260646358,0.15616697363588783,0.030804331031474088,0.04053660784897073
5.4,0.3217650074955651,0.1138005111600767,0.13719283647977595,0.027186321854672478,0.0356611546576069
5.5,0.24012572229747256,0.10011339981170278,0.12033059568737095,0.02397101138092542,0.03132835865173453
5.6,0.1682232548167498,0.08794971798470612,0.10534518885692346,0.021113577654975978,0.027477819944531363
5.7,0.10489633056365527,0.07713990195979402,0.09202771695988063,0.018574187582116822,0.024055861395000117
5.8,0.049122175991945655,0.06753326112896435,0.0801925322541725,0.016317441648318134,0.021014780339820835
5.9,,0.058995877343719666,0.06967465032424486,0.014311880445197161,0.018312183610401933
6.0,,0.051408738074116674,0.060327450171251545,0.01252954612070653,0.015910396565158174
6.1,,0.04466607735458313,0.05202063029228763,0.010945592642092166,0.01377593789882912
6.2,,0.03867390138901405,0.04463839225607177,0.00953793943812239,0.011879052907593432
6.3,,0.03334867826184061,0.038077826453825236,0.008286963592304129,0.010193298703618361
6.4,,0.028616173489429474,0.03224747752245026,0.0071752262962091985,0.008695175596867206
6.5,,0.024410415179207886,0.027066069441771493,0.006187229749625193,0.007363799505566717
6.6,,0.020672774370662835,0.022461372533486793,0.005309201118679115,0.006180610828682494
6.7,,0.01735114773801754,0.018369196567607445,0.004528900540274716,0.0051291157220371714
6.8,,0.014399231261326062,0.014732495940126029,0.003835450496393819,0.0041946561714178805
6.9,,0.011775874740842334,0.011500574447942244,0.0032191841797114423,0.0033642056574545
7.0,,0.009444508156487591,0.008628378575478124,0.002671510736716456,0.0026261875638034517
7.1,,0.007372631875773937,0.006075869441283299,0.002184795509804962,0.0019703137972176096
7.2,,0.00553136360359783,0.0038074646494615704,0.0017522536089012825,0.001387441369839282
7.3,,0.0038950357583103865,0.0017915422652375157,0.0013678553289777596,0.0008694449444502616
7.4,,0.0024408376614200745,,0.0010262420949778812,0.00040910356593856415
7.5,,0.0011484975529939454,,0.0007226517624012708,
7.6,,,,0.00045285223222848195,
7.7,,,,0.00021308245476664287,
