ID,Name,Mmax,NMmin_Mmax,Beta,b,a
ES638,Norte de Cubillas,6.1,0.0020204875739247745,1.6,0.6948711710452029,0.0849408680401531
ES639,E de Cubillas,5.8,0.0016614178285177812,1.6,0.6948711710452029,-3.644929190294022e-05
ES640,Oeste de Cubillas,5.8,0.0031954902619613424,1.6,0.6948711710452029,0.2840221825845859
ES641,Obeilar Pinos Puente,6.0,0.027120801193246006,1.6,0.6948711710452029,1.2127871993414001
ES643,Tocon Obeilar,6.1,0.0024297409053752285,1.6,0.6948711710452029,0.16504464939843988
ES644,Alitaje,5.9,0.0036448020183693307,1.6,0.6948711710452029,0.34115862707762856
ES646,Pinos Puente,6.1,0.02314186372032263,1.6,0.6948711710452029,1.1438830159295834
ES648,Pedro Ruiz,5.9,0.003360338178774309,1.6,0.6948711710452029,0.30586767043523855
ES651,Atarfe,6.2,0.007900989174463417,1.6,0.6948711710452029,0.6771661509292599
ES653,El Fargue Jun,6.3,0.017437285577988713,1.6,0.6948711710452029,1.0209635644189088
ES655,Escoznar,6.1,0.0017832147865635476,1.6,0.6948711710452029,0.030688340873456177
ES656,Santa Fe,6.3,0.011078061478183483,1.6,0.6948711710452029,0.8239484551342602
ES658,Granada,6.5,0.0059597367377959036,1.6,0.6948711710452029,0.5547117600539768
ES660,Belicena Alhendin,6.2,0.005325944153190368,1.6,0.6948711710452029,0.5058812923805394
ES662,Huenes,6.2,0.01630429962156663,1.6,0.6948711710452029,0.9917868318783323
ES664,Dilar,6.1,0.016851490491707918,1.6,0.6948711710452029,1.006123003850856
ES666,Padul Niguelas,6.0,0.020239784576674507,1.6,0.6948711710452029,1.08569056993457
ES673,Ventas de Zafarraya,6.5,0.024242552835225285,1.6,0.6948711710452029,1.164063034983444
ES675,Albunuelas,6.2,0.0029817282927424803,1.6,0.6948711710452029,0.2539527504142076
Z,Zone,4.8,0.7958729675671146,1.2,0.5211533782839022,1.9854572669445083
