m,Zone,ES638,ES639,ES640,ES641,ES643,ES644,ES646,ES648,ES651,ES653,ES655,ES656,ES658,ES660,ES662,ES664,ES666,ES673,ES675
4.0,0.7958729675671146,0.0020204875739247745,0.0016614178285177812,0.0031954902619613424,0.027120801193246006,0.0024297409053752285,0.0036448020183693307,0.02314186372032263,0.003360338178774309,0.007900989174463417,0.017437285577988713,0.0017832147865635476,0.011078061478183483,0.0059597367377959036,0.005325944153190368,0.01630429962156663,0.016851490491707918,0.020239784576674507,0.024242552835225285,0.0029817282927424803
4.1,0.6595974408317786,0.0017126336340694795,0.001403425866453418,0.0026992810674467613,0.02296652233680488,0.0020595306055443104,0.0030829949058478402,0.019615826731113766,0.0028423781140579432,0.00670255066740313,0.014802442331363417,0.0015115131909999384,0.009404122301071125,0.005064581457095625,0.004518093842464002,0.013831229469757325,0.01428389353775631,0.017139518160255315,0.02060130991748307,0.0025294535300882967
4.2,0.5387318911458128,0.0014502978113130123,0.0011835796183770643,0.002276439484313234,0.01942647941165491,0.0017440581979320743,0.0026042544643156106,0.01661113621109431,0.0024010016619773556,0.005681308737153767,0.012557177023852105,0.0012799843638881994,0.00797768542818762,0.004301780444486576,0.0038296892177641048,0.0117238181002153,0.012095931740877886,0.014497645389363165,0.017498447381011834,0.0021440504001863665
4.3,0.4315337650342772,0.0012267499693277466,0.0009962390035512735,0.0019161176555293569,0.016409853820314572,0.001475230345195089,0.0021962987705369773,0.014050707846694063,0.0020248854597409377,0.004811063769259902,0.010643888137475016,0.001082688511898298,0.006762156106607549,0.003651764299374635,0.0032430694925304677,0.009928000590863276,0.010231473685172573,0.012246389916408449,0.01485436234254191,0.001815631516792297
4.4,0.33645755620817264,0.0010362550642432035,0.0008365978622063657,0.001609071647102231,0.013839255059017397,0.0012461503601841448,0.0018486618599101148,0.011868854718877487,0.0017043803740756165,0.004069489924990051,0.009013490896450713,0.0009145640770363074,0.005726350344916785,0.0030978570785897383,0.002743185137187562,0.008397705854152188,0.00864268733321528,0.010327996547753914,0.012601221699511292,0.001535771405128824
4.5,0.2521325235547127,0.000873926014045702,0.0007005606551458251,0.0013474242980941887,0.011648735290653767,0.001050941273780596,0.0015524252257040321,0.010009602127572091,0.0014312639559938298,0.0034375623795356984,0.007624158013964204,0.0007712978840952077,0.004843694898516584,0.0026258484807343517,0.0023172117885807255,0.007093674698976147,0.007288812911400588,0.00869324955386098,0.010681221894885412,0.0012972903491954046
4.6,0.17734292876751756,0.0007355983221511165,0.000584637394080875,0.0011244631347375105,0.009782097475434993,0.000884595063252043,0.0012999890178010628,0.00842525157977186,0.0011985294966607354,0.002899069246600109,0.006440246627346799,0.0006492144876116147,0.004091545542069452,0.0022236292857332335,0.001954221245300271,0.005982452649474449,0.006135117231810976,0.007300210056483929,0.009045105986557129,0.0010940701985956375
4.7,0.11101050869695862,0.0006177232386611137,0.0004858541071676689,0.000934468164202436,0.008191453654946858,0.0007428441731320706,0.001084877071126364,0.00707515710091868,0.0010002062726616296,0.0024401956679680893,0.0054313838925544025,0.0005451818795622213,0.0034506061395980954,0.001880880696910041,0.0016449011083903603,0.005035531681829273,0.005152002624091535,0.0061131401010094625,0.007650899977246369,0.0009208974094692676
4.8,0.05217892971947299,0.0005172767183912337,0.00040167654277091275,0.0007725651301261531,0.0068359964028604,0.0006220520325359038,0.0009015707618350877,0.0059246824762463615,0.0008312063691230362,0.002049169398016113,0.00457168777918159,0.000456531138762974,0.002904433608678411,0.0015888096157674223,0.0013813158749204002,0.004228618860608557,0.004314247617281456,0.005101585811383493,0.006462835985872831,0.0007733292927972753
4.9,,0.00043168184001998717,0.00032994515409991404,0.0006346004652232645,0.005680951924285722,0.0005191197601709473,0.000745367428894208,0.004944312670468617,0.0006871941509867356,0.0017159587907539134,0.003839103075772561,0.0003809879606036423,0.0024390160787512486,0.0013399230580350946,0.0011567033553557663,0.003541013111768124,0.003600359891552904,0.0042395961062765995,0.005450434634729469,0.0006475800387257964
