m,Zone,M01,M02,P01,P02
4.5,1.0033129267718146,0.6430302136662088,0.7410387616370735,0.16137303358790112,0.196895129264655
4.6,0.8830280732462428,0.5525965432269575,0.636468301652704,0.13873470061912546,0.16916111116628516
4.7,0.7742986207886415,0.4747595617424986,0.5464636726457194,0.11924970685993386,0.14529022057070126
4.8,0.6760144770646219,0.4077646509179754,0.46899597054422976,0.10247881731080519,0.12474435463071232
4.9,0.5871721929435786,0.3501015967914228,0.4023189014301574,0.08804397890412648,0.1070603639336039
5.0,0.5068647176095368,0.30047054615966906,0.34492941619903045,0.07561979834909134,0.09183961208557617
5.1,0.43427213786742913,0.2577527050025626,0.2955338284976711,0.06492620704482745,0.0787389895627922
5.2,0.36865330709613736,0.22098511838298251,0.25301865216290786,0.0557221477126179,0.0674631792612983
5.3,0.30933827838261874,0.18933896330561079,0.21642550077245934,0.04780014042989567,0.057757999394146685
5.4,0.25572146458189576,0.16210086520733252,0.1849294834881705,0.04098160557235924,0.04940467366984939
5.5,0.20725545546933202,0.13865681691149637,0.15782061018596177,0.03511283823294536,0.04221489958927013
5.6,0.16344542886033792,0.11847833754357563,0.13448778670285416,0.03006154337212891,0.03602660368942134
5.7,0.12384409863685945,0.10111055939947801,0.11440503941842574,0.025713853594149343,0.030700288047943072
5.8,0.08804714810163623,0.0861619742180722,0.09711965864218933,0.021971762323220588,0.026115885690365118
5.9,0.055689102036266334,0.07329560771616696,0.08224199353253846,0.01875091451782167,0.02217005401405598
6.0,0.026439595318136326,0.0622214234403688,0.06943666850208101,0.015978705120863638,0.018773845216626003
6.1,,0.05268978470178838,0.05841502310765084,0.013592642380581367,0.01585070121507307
6.2,,0.044485827211090234,0.04892860500333639,0.011538939147769805,0.013334727856697428
6.3,,0.03742461556059414,0.04076356927324977,0.009771300394078945,0.011169209518670545
6.4,,0.03134697436978669,0.03373585789256871,0.00824987961933919,0.009305330612036094
6.5,,0.02611590011900916,0.027687050651203284,0.0069403806230218775,0.007701075170005388
6.6,,0.021613472786093255,0.02248079401070247,0.005813284391770971,0.006320279714826267
6.7,,0.017738197667378285,0.01799972739290744,0.004843183675334682,0.005131818052742114
6.8,,0.01440271746185879,0.014142837612079247,0.0040082102507623145,0.0041088996205109135
6.9,,0.011531843043760235,0.010823181813528086,0.0032895419641299235,0.003228465566657294
7.0,,0.009060858532788187,0.00796592758872944,0.0026709784374217014,0.002470668953789243
7.1,,0.006934062454571749,0.005506666086771018,0.0021385758760583133,0.0018184273645858115
7.2,,0.005103512105821351,0.003389960095920362,0.001680332744823719,0.001257037826202269
7.3,,0.003527942819404193,0.0015680943658484734,0.0012859192266281045,0.0007738453726339669
7.4,,0.0021718377671746227,,0.0009464443655072731,0.00035795777369933914
7.5,,0.0010046273318502984,,0.0006542556447447812,
7.6,,,,0.00040276648216307345,
7.7,,,,0.00018630775394453672,
