ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.6430302136662088,1.5000000000000004,0.6514417228548779,2.739719132179009
M02,Motagua GAP,7.3,0.7410387616370735,1.5000000000000004,0.6514417228548779,2.8013286781337206
P01,1816 Earthquake,7.7,0.16137303358790112,1.5000000000000004,0.6514417228548779,2.139318716055575
P02,1785 Earthquake,7.4,0.196895129264655,1.5000000000000004,0.6514417228548779,2.2257227256653778
Z,Zone,6.0,1.0033129267718146,1.01,0.4386374267222843,1.9753048280209493
