m,CYm,n
3,1978,15
3.1,1978,14
3.2,1978,51
3.3,1978,37
3.4,1978,30
3.5,1975,53
3.6,1975,21
3.7,1975,26
3.8,1975,71
3.9,1975,18
4,1908,9
4.1,1908,29
4.2,1908,6
4.3,1908,36
4.4,1908,9
4.5,1883,2
4.6,1883,8
4.7,1883,0
4.8,1883,1
4.9,1883,11
5,1800,1
5.1,1800,4
5.2,1800,2
5.3,1800,1
5.4,1800,3
5.5,1520,1
5.6,1520,0
5.7,1520,0
5.8,1520,0
5.9,1520,0
6,1520,0
6.1,1520,0
6.2,1520,0
6.3,1520,1
6.4,1520,0
6.5,1520,1
