m,Zone,M01,M02,P01,P02
4.5,1.730499730770569,0.3668188717268631,0.4462686512511944,0.08713584065992797,0.11541626073148971
4.6,1.4888750366848613,0.3240081725339116,0.3938401618134411,0.0770187105584264,0.10190444469151044
4.7,1.2747873522486843,0.2860764392150412,0.3473867397214353,0.06805458971487671,0.08993251682431708
4.8,1.0850983935076286,0.2524676353483016,0.30622743020861626,0.06011207422959735,0.07932498217218746
4.9,0.9170275343032414,0.22268909378107382,0.2697588842268644,0.05307473578504753,0.0699263462428424
5.0,0.768111045430201,0.19630429468536195,0.23744651403005793,0.04683941493802789,0.06159883563559292
5.1,0.6361659791453529,0.17292646666952585,0.2088166567207507,0.041314708918611075,0.05422037843870001
5.2,0.5192581696162445,0.15221291714597332,0.18344963088640615,0.03641963176864059,0.047682814792850435
5.3,0.41567388023183865,0.13386000884439694,0.1609735845433071,0.032082427178939645,0.041890311389627885
5.4,0.3238946821569593,0.11759870883190629,0.14105904420593804,0.02823951662276251,0.036757956663315404
5.5,0.242575195878415,0.10319064479371147,0.12341408517734688,0.024834567366311622,0.03221051608312554
5.6,0.17052336945897803,0.09042461076388202,0.10778005226239021,0.02181766669440563,0.0281813292998466
5.7,0.10668300440066555,0.07911347108413481,0.09392776817434578,0.019144590246378348,0.024611332980318666
5.8,0.05011827296619425,0.0690914172061803,0.08165417405441039,0.016776153736838276,0.02144819500559534
5.9,,0.06021153712544313,0.0707793528578882,0.01467763855824616,0.01864554734111264
6.0,,0.05234366181679768,0.0611438919732691,0.012818282845292432,0.016162306333607313
6.1,,0.045372457103495516,0.05260654641316777,0.011170830540652406,0.01396207047110396
6.2,,0.03919573298823588,0.045042168322138525,0.009711131851931797,0.01201258677781187
6.3,,0.03372294566307959,0.038339872450286284,0.008417789242952146,0.010285278021882534
6.4,,0.02887387023936165,0.03240141070058606,0.007271843770007725,0.008754823805427019
6.5,,0.02457742474132035,0.02713973192260832,0.006256497165137248,0.00739878939604533
6.6,,0.02077062812451582,0.022477705840850907,0.005356865592464676,0.006197296858956681
6.7,,0.01739767704476372,0.018346992411906096,0.004559761467954826,0.005132733668898729
6.8,,0.014409127844057946,0.014687040036514715,0.0038535001443075613,0.0041894945303748736
6.9,,0.01176117176231844,0.011444197941425283,0.00322772862720906,0.003353752621625595
7.0,,0.009414992750386788,0.008570929719578783,0.0026732738121138418,0.002613256909018775
7.1,,0.0073361984705312515,0.0060251165000037065,0.002182008016879682,0.0019571525607161963
7.2,,0.005494316143571859,0.0037694395326797513,0.0017467298391158242,0.0013758218270835682
7.3,,0.003862345852311861,0.0017708331377592223,0.0013610585917473346,0.0008607430553300104
7.4,,0.0024163647532088506,,0.001019340769340314,0.0004043657716909784
7.5,,0.0011351763944741301,,0.0007165671740895615,
7.6,,,,0.0004482994866293705,
7.7,,,,0.00021060520527818984,
