ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.4708594003384663,1.3400000000000003,0.5819546057503575,2.291686971067443
M02,Motagua GAP,7.3,0.5592060481079547,1.3400000000000003,0.5819546057503575,2.366367585763208
P01,1816 Earthquake,7.7,0.11461713897244145,1.3400000000000003,0.5819546057503575,1.6780452894470497
P02,1785 Earthquake,7.4,0.1463706684837025,1.3400000000000003,0.5819546057503575,1.7842497821622527
Z,Zone,5.9,1.4546978586981703,1.2700000000000002,0.5515539920171298,2.64476576363527
