m,Zone,M01,M02,P01,P02
4.5,1.4546978586981703,0.4708594003384663,0.5592060481079547,0.11461713897244145,0.1463706684837025
4.6,1.2508666952116503,0.4108669833395063,0.48760630496371843,0.10006827640579921,0.12767875717685045
4.7,1.0713457260044164,0.3583982114806756,0.4249858809816184,0.08734398575373453,0.11133099725943087
4.8,0.9132355634863277,0.31250954491100297,0.37021868032562516,0.07621544757031361,0.09703340885713502
4.9,0.7739826193768391,0.2723757730512724,0.32231983076575665,0.0664825386415349,0.08452888009269928
5.0,0.6513378624913218,0.23727517492769518,0.2804279728347658,0.05797023319273595,0.07359254347277716
5.1,0.5433204953347546,0.20657654054718005,0.24378977010054675,0.05052545542034756,0.06402773212183567
5.2,0.44818596285467555,0.1797278199210912,0.21174636200427613,0.04401432674743693,0.055662443144497045
5.3,0.36439777667268203,0.15624619561420325,0.1837215156472477,0.0383197583007554,0.04834624451738089
5.4,0.29060269973636105,0.1357094002946509,0.15921126346135575,0.0333393453150841,0.041947569887440556
5.5,0.22560889060664474,0.11774812314937814,0.13777484041865246,0.028983525600194533,0.0363513526294653
5.6,0.16836665439575105,0.10203936861053557,0.11902675780487007,0.02517396895434878,0.03145695661627841
5.7,0.11795148947005674,0.08830064796357141,0.10262987102049358,0.021842168561348498,0.027176366490911017
5.8,0.07354915611045885,0.07628489938537586,0.08828931674845221,0.018928209040388968,0.023432604896625547
5.9,0.034442525978776686,0.06577604506011439,0.0757472104612199,0.01637968899470147,0.020158348202019942
6.0,,0.05658510547687698,0.06477800891320759,0.01415077868330076,0.017294715827956938
6.1,,0.04854680103300792,0.05518445422268437,0.012201395870057752,0.01479021140492494
6.2,,0.04151657983014323,0.046794026606124056,0.01049648502948692,0.012599796719786055
6.3,,0.03536801821415414,0.03945584197490707,0.009005386947289168,0.01068408179880237
6.4,,0.029990547313208587,0.03303793860421971,0.007701287379249913,0.00900861656229765
6.5,,0.025287464690548125,0.027424904080632383,0.006560734853789295,0.007543271312862369
6.6,,0.02117419535576064,0.022515799854027324,0.005563218946863183,0.006261694916492559
6.7,,0.017576770862517983,0.01822234607133636,0.004690801445381833,0.005140840933197393
6.8,,0.014430499142567232,0.014467334050161191,0.00392779376640017,0.004160553175536357
6.9,,0.011678801155755895,0.011183237843975345,0.003260474831146765,0.0033032032422337446
7.0,,0.009272193435701669,0.008310999930843662,0.002676844320452453,0.002553373508678938
7.1,,0.007167398234344564,0.005798969188841678,0.0021664068743998386,0.0018975798735677391
7.2,,0.005326565263212888,0.0036019720599086286,0.0017199833554807271,0.0013240292758693872
7.3,,0.0037165910360668674,0.00168050019898171,0.001329545781228809,0.0008224076215750989
7.4,,0.0023085235727375434,,0.0009880729579402586,0.00038369430653943106
7.5,,0.0010770417590184804,,0.0006894242193600384,
7.6,,,,0.00042822899979146284,
7.7,,,,0.00019979025583489698,
