m,Zone,M01,M02,P01,P02
4.5,1.0355226986559607,0.6305610865797154,0.7280449698349889,0.15794103250219305,0.19326043182616962
4.6,0.9079815953143203,0.5424024794337369,0.6259039544423453,0.1359158680037083,0.16619742035326726
4.7,0.7932679833260495,0.4664477463042513,0.5379024102156249,0.11693966652124493,0.14288076551205853
4.8,0.6900917332339809,0.4010074941094939,0.46208299764646776,0.10059035740585466,0.12279185583811382
4.9,0.5972924708051285,0.34462619394729177,0.3967593334670997,0.0865042976220983,0.10548387171104803
5.0,0.5138265268533532,0.2960498070696911,0.3404784819381251,0.0743681835617936,0.09057184714600683
5.1,0.43875519958820236,0.25419789242256696,0.29198863850054646,0.063912082512544,0.07772410734015266
5.2,0.3712341974821514,0.21813957536321774,0.250211287008443,0.05490342878624801,0.06665489152717083
5.3,0.31050414392518283,0.18707284304964802,0.2142172112605685,0.04714185096885192,0.05711799705655448
5.4,0.2558820368770748,0.16030670598744304,0.18320582727686635,0.04045471523849862,0.04890130332862081
5.5,0.20675356746816434,0.13724582896949486,0.15648737662623638,0.03469328562608892,0.04182205378604919
5.6,0.1625662111595462,0.11737728956834752,0.1334675847477016,0.029729415814372447,0.03572279102350689
5.7,0.12282301376226222,0.1002591696621657,0.1136344430337539,0.025452698894218174,0.030467854603647076
5.8,0.08707700242979778,0.08551072624586258,0.0965468206816026,0.021768011682647498,0.025940363683538213
5.9,0.05492615876697793,0.07280392290554093,0.08182465301593195,0.018593398983095043,0.022039617338786947
6.0,0.026008897520202134,0.06185613359842486,0.06914048805082598,0.015858250729394636,0.01867885476309425
6.1,,0.052423856454992576,0.05821220326860727,0.013501731469336545,0.015783325525369145
6.2,,0.044297297785043856,0.04879673062142722,0.011471427256205922,0.013288626962858244
6.3,,0.03729570582460176,0.040684650186441046,0.009722179852323366,0.011139271730416048
6.4,,0.031263350436360006,0.03369553222608084,0.008215082314820972,0.00928745364519738
6.5,,0.026066059343756588,0.027673924051048897,0.006916613623368632,0.007691984376561645
6.6,,0.021588233857229966,0.022485892425418222,0.005797893102150019,0.006317377330934653
6.7,,0.01773027771613127,0.018016044609655852,0.004834038052864407,0.005133058355299944
6.8,,0.01440638185832587,0.014164961783296421,0.004003610311160511,0.004112685703704309
6.9,,0.011542615846100151,0.010846987761187345,0.0032881394167531435,0.003233564141401952
7.0,,0.009075283497669116,0.007988323819701089,0.0026717117915226215,0.0024761401550805213
7.1,,0.006949506150069799,0.005525387257841181,0.002140616788053488,0.0018235670415823176
7.2,,0.00511800204222642,0.003403397184187279,0.0016830417359873322,0.001261330201778819
7.3,,0.003540034669097994,0.0015751560746049122,0.00128880920337885,0.0007769243053457316
7.4,,0.0021805067160923,,0.0009491506291949845,0.0003595751459040394
7.5,,0.0010091794209407894,,0.0006565112920675489,
7.6,,,,0.00040438227739404356,
7.7,,,,0.00018715570538144788,
