ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.6305610865797154,1.4900000000000004,0.6470987780358454,2.7116716670575594
M02,Motagua GAP,7.3,0.7280449698349889,1.4900000000000004,0.6470987780358454,2.7741027067765485
P01,1816 Earthquake,7.7,0.15794103250219305,1.4900000000000004,0.6470987780358454,2.11043947394522
P02,1785 Earthquake,7.4,0.19326043182616962,1.4900000000000004,0.6470987780358454,2.1980874467646863
Z,Zone,6.0,1.0355226986559607,1.06,0.4603521508174469,2.086744301746695
