m,Zone,ES638,ES639,ES640,ES641,ES643,ES644,ES646,ES648,ES651,ES653,ES655,ES656,ES658,ES660,ES662,ES664,ES666,ES673,ES675
4.0,0.8437671382041108,0.0012870787756631293,0.0011685610490803835,0.0022475534984327584,0.017869105404617443,0.0015477788579487718,0.002482134855698081,0.014741690079220843,0.0022884130546548496,0.004863024700608924,0.010364130532408778,0.0011359326995396065,0.006584423630182129,0.003298296579533595,0.0032780956155135364,0.010035225974245431,0.010734634565475337,0.013335404119897991,0.013416553887102972,0.0018352408816071969
4.1,0.6243635379581375,0.0011303522671821883,0.0010213648271938454,0.001964443442935422,0.015671669979006052,0.0013593071179948996,0.00217345315841082,0.012946606779805827,0.002003822866420892,0.004275959603064588,0.009122458195868217,0.0009976111226210162,0.005795578232288345,0.002908096512672902,0.002882363403411027,0.00882377193521656,0.009427487072192367,0.011695496090683738,0.011829328451927594,0.0016136903171934125
4.2,0.4585418640753795,0.0009913483238351156,0.0008908134897951207,0.001713347348874704,0.013722719591665027,0.0011921476800861677,0.0018996770526462073,0.011354510715944972,0.0017514140123870102,0.003755279570369162,0.008021193624884043,0.0008749308892129734,0.0050959351274860645,0.00256202009896575,0.00253138041703002,0.007749308589858303,0.008268151246596089,0.010241028145237049,0.010421585775793258,0.001417192593848605
4.3,0.333216538973818,0.000868062885696324,0.0007750248406154354,0.0014906450914724007,0.011994155662984465,0.0010438905584147615,0.0016568594293587357,0.009942448179689846,0.0015275474413360042,0.003293477808381033,0.007044459570645631,0.0007661232830221502,0.004475407359428682,0.0022550778549830968,0.002220086433468687,0.006796345090356585,0.007239912609856399,0.008951030799870372,0.009173030026690822,0.0012429147472457019
4.4,0.23849769586940398,0.0007587185110613998,0.0006723295213180983,0.0012931259080792516,0.010461056988465563,0.0009123982873155282,0.0014414995168699877,0.008690061058362503,0.001328995604373072,0.0028838963879617664,0.0061781741767039725,0.0006696195934212359,0.003925048600388102,0.0019828445059030557,0.001943993437621044,0.005951142287203004,0.006327946749109772,0.007806905790953776,0.008065660416431161,0.0010883441634265284
4.5,0.16691073424159206,0.000661738750557629,0.0005812469438780969,0.0011179421076841847,0.009101320442530772,0.0007957751048072659,0.0012504924092340997,0.007579293325775918,0.001152895922422915,0.002520630255692279,0.0054098479567875465,0.0005840284988955764,0.0034369241694687195,0.0017413951850480125,0.0016991209171693057,0.0052015146479154695,0.005519105589625239,0.0067921579383864545,0.007083511678092362,0.0009512523537220018
4.6,0.11280647254307688,0.0005757254190188994,0.0005004639445176864,0.0009625680149320206,0.007895342311390007,0.0006923396208456933,0.0010810843019135967,0.006594130723298898,0.0009967095156019296,0.0021984420990152718,0.004728403730278028,0.0005081160079597792,0.003003996636025388,0.0015272488479501972,0.0014819384743902186,0.004536654574703317,0.004801727835220406,0.005892157329829647,0.006212423890163709,0.0008296628259885175
4.7,0.07191535120787336,0.0004994384374470708,0.00042881585144562877,0.0008247635567337377,0.0068257356606472915,0.0006006005762384439,0.0009308327893854679,0.00572036987767256,0.0008581845994549762,0.0019126868383902032,0.004124016919303816,0.0004407876683467139,0.002620024358996943,0.0013373180851300212,0.0012893149273932906,0.00394697658821419,0.0041654708439924915,0.0050939283970427305,0.005439838328875038,0.000721822588950902
4.8,0.04101050653283334,0.0004317779544355515,0.00036526969344820835,0.0007025419664869466,0.005877079662854992,0.0005192353427313682,0.0007975716522766075,0.004945413526883302,0.0007353240203297138,0.0016592446578423937,0.0035879739049684807,0.00038107278797365344,0.002279471499367596,0.001168864610023529,0.001118473166968768,0.0034239791309147614,0.0036011615154682894,0.004385962843375092,0.004754616405455526,0.0006261768788218189
4.9,0.017653127395223376,0.0003717684892944805,0.0003089093072454383,0.0005941411402889962,0.005035697270998689,0.0004470708542956785,0.0006793796263545909,0.004258088901804553,0.0006263564618366121,0.0014344616083883798,0.0031125464005949993,0.0003281104401946655,0.0019774282083798553,0.0010194597803155551,0.0009669501182035215,0.0029601219976847864,0.003100664039370035,0.0037580537253354826,0.004146879077888116,0.0005413467438240092
