ID,Name,Mmax,NMmin_Mmax,Beta,b,a
ES638,Norte de Cubillas,6.1,0.0012870787756631293,1.2,0.5211533782839022,-0.8057813581505124
ES639,E de Cubillas,5.8,0.0011685610490803835,1.2,0.5211533782839022,-0.8477350807170976
ES640,Oeste de Cubillas,5.8,0.0022475534984327584,1.2,0.5211533782839022,-0.5636764488406087
ES641,Obeilar Pinos Puente,6.0,0.017869105404617443,1.2,0.5211533782839022,0.33671632375186533
ES643,Tocon Obeilar,6.1,0.0015477788579487718,1.2,0.5211533782839022,-0.7256775767922261
ES644,Alitaje,5.9,0.002482134855698081,1.2,0.5211533782839022,-0.5205611136120307
ES646,Pinos Puente,6.1,0.014741690079220843,1.2,0.5211533782839022,0.25316078973891765
ES648,Pedro Ruiz,5.9,0.0022884130546548496,1.2,0.5211533782839022,-0.5558520702544207
ES651,Atarfe,6.2,0.004863024700608924,1.2,0.5211533782839022,-0.22848001139226337
ES653,El Fargue Jun,6.3,0.010364130532408778,1.2,0.5211533782839022,0.10014638726296687
ES655,Escoznar,6.1,0.0011359326995396065,1.2,0.5211533782839022,-0.8600338853172094
ES656,Santa Fe,6.3,0.006584423630182129,1.2,0.5211533782839022,-0.09686872202168173
ES658,Granada,6.5,0.003298296579533595,1.2,0.5211533782839022,-0.3970967824740841
ES660,Belicena Alhendin,6.2,0.0032780956155135364,1.2,0.5211533782839022,-0.3997648699409839
ES662,Huenes,6.2,0.010035225974245431,1.2,0.5211533782839022,0.08614066955680899
ES664,Dilar,6.1,0.010734634565475337,1.2,0.5211533782839022,0.11540077766018997
ES666,Padul Niguelas,6.0,0.013335404119897991,1.2,0.5211533782839022,0.20961969434503502
ES673,Ventas de Zafarraya,6.5,0.013416553887102972,1.2,0.5211533782839022,0.21225449245538308
ES675,Albunuelas,6.2,0.0018352408816071969,1.2,0.5211533782839022,-0.6516934119073157
Z,Zone,4.9,0.8437671382041108,2.8,1.2160245493291049,4.790320804431809
