m,Zone,ES638,ES639,ES640,ES641,ES643,ES644,ES646,ES648,ES651,ES653,ES655,ES656,ES658,ES660,ES662,ES664,ES666,ES673,ES675
4.0,0.18516281243415814,0.007563411013981662,0.004668042276070715,0.00897828552190006,0.0920781523353046,0.009095393291204167,0.011245183187679073,0.08662831150520477,0.01036753661856646,0.03266811002479998,0.07976452835494129,0.006675213711307804,0.05067510908978708,0.0335135217985773,0.022021107198160323,0.0674131608275259,0.06308118418140601,0.06871633157905724,0.13632369325040944,0.012328510491597484
4.1,0.14862059328964794,0.005712393255999172,0.003522425234635045,0.006774861412077787,0.06952814805840168,0.006869448612707743,0.008488733648200764,0.06542748787632223,0.007826218165961489,0.02467726979009625,0.06026120216720407,0.005041567318811368,0.03828447377154967,0.025323330332564523,0.01663459572632439,0.05092344662366767,0.04764312430359467,0.05188765363862587,0.1030082704253978,0.009312873603040523
4.2,0.11809796617937596,0.0043134241293701775,0.002656586500783356,0.005109549294342558,0.0524852214561614,0.005187115815320256,0.0064054539021199345,0.049404250072142435,0.005905530997621227,0.01863792266013692,0.0455209053302046,0.0038068839360747646,0.02891983305171875,0.019133316783142635,0.012563557932746047,0.03846078872714009,0.0359752896483249,0.03916881246105323,0.07782901551453104,0.007033704272535042
4.3,0.09260332498015153,0.003256106008665472,0.0020021996630156407,0.0038509334713090738,0.03960445462336497,0.003915636039337068,0.0048309449411280386,0.03729414745426466,0.004453906863367028,0.014073482290306376,0.0343804286365692,0.0028737303095568863,0.02184218985109633,0.014455005183098944,0.009486733757507757,0.02904171451361977,0.027156929917878377,0.02955611908888626,0.05879894403092881,0.005311145148514476
4.4,0.0713084106358209,0.0024570021634903274,0.0015076247304081723,0.0028996920955214425,0.029869380473655192,0.0029546722970591995,0.0036409566676340074,0.028141528788312147,0.0033567929439929523,0.010623752469944264,0.02596063747945306,0.0021684679703542205,0.016493022192241198,0.010919213338322175,0.0071613200705447164,0.021922931363476183,0.02049215700729895,0.022291001726603206,0.04441632540488187,0.004009262968883505
4.5,0.05352140302944683,0.0018530524695721986,0.0011338330374118866,0.002180759329501175,0.02251176970943862,0.002228391524517135,0.0027415828780042494,0.02122412840884104,0.002527612081205258,0.0080165027592996,0.019597096216451983,0.0016354421609238116,0.0124502082453577,0.008246919348868145,0.005403810213779436,0.016542670799648683,0.015455030000988457,0.016800144144421963,0.03354617608775732,0.0030253215842274738
4.6,0.038664445425696845,0.001396597110251715,0.0008513273531540835,0.0016374016337432629,0.016951007117884095,0.0016794803248979394,0.002061850790310656,0.015996069668897106,0.0019009306663840878,0.006045985818079217,0.01478763519179314,0.0012325899203800307,0.009394715194572701,0.006227242999248929,0.004075512838588055,0.012476357340712441,0.011648051305971435,0.012650243257160484,0.02533069396667851,0.002281674683159011
4.7,0.02625487130708428,0.0010516155709769624,0.0006378141501232111,0.001226740721494586,0.012748273161091978,0.0012646221647227929,0.00154812032988608,0.012044787873871976,0.0014272950419897759,0.004556701151641782,0.01115272274419099,0.0009281207467680301,0.007085423224658444,0.004700804451204076,0.003071607278600093,0.009403103740785835,0.008770798704209234,0.009513815637915564,0.01912156615134695,0.0017196384459475327
4.8,0.015889523709507015,0.0007908841324907357,0.0004764443426863432,0.000916369880765661,0.009571915166884621,0.0009510791122521833,0.0011598512004066233,0.009058473335282001,0.0010693289376983257,0.0034311240143490612,0.008405515014678257,0.0006980078955776205,0.00534009789952299,0.0035471470142604982,0.0023128717784041894,0.007080388636591038,0.006596217967736187,0.007143354637037577,0.014428808299898871,0.0012948605957541456
4.9,0.007231657630327237,0.0005938275503964805,0.0003544836658637163,0.0006817966455207934,0.0071712754378197635,0.0007141083709484954,0.0008664037050368801,0.006801465360142824,0.0007987839760826011,0.0025804311142289377,0.006329220078311022,0.0005240923439478868,0.004021009395234678,0.002675231480209051,0.0017394318232908438,0.005324918324806955,0.004952705202627028,0.005351798752819116,0.010882098213185682,0.0009738204028474656
5.0,,0.00044489538950280685,0.0002623077692242387,0.0005045100081420531,0.005356910961499863,0.0005350097374704572,0.0006446208590655234,0.005095655428196726,0.0005943104927606729,0.0019374912513463278,0.004759990122937813,0.0003926497976398301,0.003024063750152419,0.0020162518956502807,0.0013060352285150754,0.00399816240455233,0.0037105649758825826,0.003997769943617464,0.008201552393990825,0.0007311834446947866
5.1,,0.00033233488371949997,0.00019264272519001804,0.0003705196500338443,0.00398564378922245,0.00039964990217081773,0.0004770009899465925,0.003806432015618165,0.00043977275850714094,0.0014515677562458777,0.0035739916360614478,0.00029330765820465953,0.0022705884404841574,0.001518205839689513,0.0009784811285812743,0.0029954218511437565,0.002771775587901001,0.002974416984160198,0.006175639445616233,0.0005478023766467186
5.2,,0.0002472634835184439,0.00013999101756115713,0.0002692519158638301,0.00294926235522322,0.0002973471394052259,0.0003503166181215686,0.0028320579212872264,0.0003229756515169166,0.0010843146790576186,0.002677633262289204,0.00021822648437813026,0.00170112405184857,0.0011417907280982182,0.0007309210654041447,0.0022375668439792427,0.002062253831813354,0.0022009834556318006,0.0046444873776300905,0.00040920594692520345
