ID,Name,Mmax,NMmin_Mmax,Beta,b,a
ES638,Norte de Cubillas,6.1,0.007563411013981662,2.8,1.2160245493291049,2.7428158989625664
ES639,E de Cubillas,5.8,0.004668042276070715,2.8,1.2160245493291049,2.533232977890499
ES640,Oeste de Cubillas,5.8,0.00897828552190006,2.8,1.2160245493291049,2.817291609766988
ES641,Obeilar Pinos Puente,6.0,0.0920781523353046,2.8,1.2160245493291049,3.828254793357003
ES643,Tocon Obeilar,6.1,0.009095393291204167,2.8,1.2160245493291049,2.822919680320853
ES644,Alitaje,5.9,0.011245183187679073,2.8,1.2160245493291049,2.915064731943576
ES646,Pinos Puente,6.1,0.08662831150520477,2.8,1.2160245493291049,3.8017580468519965
ES648,Pedro Ruiz,5.9,0.01036753661856646,2.8,1.2160245493291049,2.879773775301186
ES651,Atarfe,6.2,0.03266811002479998,2.8,1.2160245493291049,3.378222206920623
ES653,El Fargue Jun,6.3,0.07976452835494129,2.8,1.2160245493291049,3.7659079988855337
ES655,Escoznar,6.1,0.006675213711307804,2.8,1.2160245493291049,2.6885633717958695
ES656,Santa Fe,6.3,0.05067510908978708,2.8,1.2160245493291049,3.568892889600885
ES658,Granada,6.5,0.0335135217985773,2.8,1.2160245493291049,3.389318265776023
ES660,Belicena Alhendin,6.2,0.022021107198160323,2.8,1.2160245493291049,3.206937348371902
ES662,Huenes,6.2,0.0674131608275259,2.8,1.2160245493291049,3.692842887869695
ES664,Dilar,6.1,0.06308118418140601,2.8,1.2160245493291049,3.663998034773269
ES666,Padul Niguelas,6.0,0.06871633157905724,2.8,1.2160245493291049,3.701158163950173
ES673,Ventas de Zafarraya,6.5,0.13632369325040944,2.8,1.2160245493291049,3.99866954070549
ES675,Albunuelas,6.2,0.012328510491597484,2.8,1.2160245493291049,2.95500880640557
Z,Zone,4.9,0.18516281243415814,1.7999999999999998,0.7817300674258532,2.3944740383542564
