ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.373880161527468,1.2200000000000002,0.5298392679219672,1.957009127294845
M02,Motagua GAP,7.3,0.4540237449790437,1.2200000000000002,0.5298392679219672,2.041355272258611
P01,1816 Earthquake,7.7,0.08897909665805874,1.2200000000000002,0.5298392679219672,1.3335646979980347
P02,1785 Earthquake,7.4,0.11752948977430251,1.2200000000000002,0.5298392679219672,1.454423556421375
Z,Zone,5.9,1.7113717298769233,1.5500000000000005,0.6731564469500405,3.262548364883896
