m,Zone,M01,M02,P01,P02
4.5,1.7113717298769233,0.373880161527468,0.4540237449790437,0.08897909665805874,0.11752948977430251
4.6,1.4390125002953238,0.3299385529452959,0.4003170476140455,0.07857401767594713,0.1036745127521235
4.7,1.205759922353898,0.29104370979940497,0.35277865206375275,0.06936397899079003,0.0914108024453003
4.8,1.0059988744176809,0.25661600284565395,0.31070011880117854,0.061211728274777104,0.08055559927542687
4.9,0.8349204810950732,0.22614237420425495,0.2734543737348277,0.05399577685387395,0.07094713389984893
5.0,0.6884063485140797,0.19916869152996544,0.24048636325568218,0.04760858922646726,0.06244221644884206
5.1,0.562929421655871,0.17529298031831053,0.2113047825672891,0.04195498051874807,0.05491410264283382
5.2,0.4554690770704999,0.15415943349247443,0.1854747540306303,0.036950697994958204,0.04825060498954357
5.3,0.3634384069899689,0.13545310899891158,0.1626113464130303,0.03252116548349937,0.042352420913212556
5.4,0.2846219443390151,0.11889523639275372,0.14237383846190113,0.028600372007752235,0.03713165290092
5.5,0.21712232948916776,0.10423906246953882,0.1244606413164003,0.025129888059458937,0.03251049861250857
5.6,0.15931463485746022,0.09126617403291432,0.10860480408839422,0.022057994854712545,0.028420091433522233
5.7,0.10980724779952783,0.07978324299846955,0.0945700356347814,0.019338913596316967,0.02479947419253105
5.8,0.0674083701255587,0.06961914532770261,0.08214718323575396,0.016932123256622064,0.02159469074869524
5.9,0.031097327777299965,0.06062241085712185,0.0711511157026058,0.014801756714113226,0.01875798191197972
6.0,,0.05265896601863595,0.061417964465694995,0.012916066244698944,0.016247073713243992
6.1,,0.04561013581218953,0.05280268152795412,0.01124695040219595,0.01402454741767321
6.2,,0.0393708752551014,0.04517687789142421,0.009769535237362525,0.012057281893194527
6.3,,0.03384820395233205,0.03842691024402836,0.00846180361460918,0.010315960023790757
6.4,,0.028959820458909515,0.03245218739349045,0.007304267102289771,0.008774631812050075
6.5,,0.024632875785091345,0.027163671210081404,0.006279675546928016,0.007410327660100728
6.6,,0.020802887766460065,0.02248254973853715,0.00537276000331799,0.006202716065861402
6.7,,0.017412780120383973,0.018339062705237136,0.004570005189521903,0.005133800633435607
6.8,,0.014412031868411484,0.014671461917799887,0.003859448075782675,0.004187651882356647
6.9,,0.011755924448890882,0.011425091064480806,0.003230499605828452,0.0033501698589782944
7.0,,0.009404875299934497,0.008551571200110939,0.002673786893776248,0.0026088740123346664
7.1,,0.007323847981466265,0.006008079780304062,0.0021810135449785674,0.0019527172031002858
7.2,,0.0054818300457147116,0.0037567124997615747,0.0017448360192487238,0.0013719210739245838
7.3,,0.0038513708751316453,0.0017639184244891927,0.0013587541939714398,0.0008578303277520696
7.4,,0.002408172600379919,,0.0010170144962187407,0.00040278374251517747
7.5,,0.0011307280020576012,,0.000714524160300353,
7.6,,,,0.00044677533297438077,
7.7,,,,0.00020977789529830467,
