m,Zone,M01,M02,P01,P02
4.5,1.8677518396712367,0.31522868447258773,0.3891473017909437,0.07377855351912865,0.09991393218307223
4.6,1.5886796133282142,0.2805011688454672,0.34593633077813457,0.06570137547996066,0.08886577574850912
4.7,1.345093476632484,0.24948426533891555,0.3073424234937903,0.05848723858240323,0.07899810753591414
4.8,1.1324811118412244,0.22178149749728407,0.27287224972632196,0.052043927450182506,0.0701847931580291
4.9,0.9469039756571705,0.19703875211249025,0.24208519127159378,0.04628907985910668,0.062313175603611125
5.0,0.7849243395805635,0.17493975273897916,0.21458770968972296,0.041149133934270256,0.055282635188701884
5.1,0.643541607617892,0.1552020168606243,0.1900283158633471,0.03655838783854198,0.04900330337615336
5.2,0.5201367316631474,0.13757324503167606,0.16809307705527024,0.03245815993271724,0.04339491402268815
5.3,0.4124236948728645,0.1218280958356163,0.14850160403403395,0.028796038672003758,0.038385777369453054
5.4,0.31840716428747895,0.10776530543753038,0.13100346697247164,0.025525212650572622,0.03391186366100481
5.5,0.23634552823387533,0.09520511491040677,0.11537499430513679,0.022603872230406764,0.02991598467900216
5.6,0.1647186337945166,0.08398697244992338,0.10141641362570147,0.019994675105712022,0.02634706272848278
5.7,0.10219962669507478,0.07396748110606716,0.08894929807758122,0.017664268971418106,0.023159477732473857
5.8,0.047630371957817344,0.06501856579827525,0.07781428559603494,0.015582865194235082,0.02031248408911258
5.9,,0.057025836183798584,0.06786904184774181,0.013723858036676095,0.017769689837198354
6.0,,0.04988712445249992,0.05898644082893911,0.012063484566741885,0.015498591472561952
6.1,,0.04351117935731258,0.05105293986544829,0.01058052090603103,0.013470158468998546
6.2,,0.037816499786682535,0.04396712824287543,0.009256010933539064,0.011658462192864778
6.3,,0.03273029296902511,0.03763843091471673,0.008073023977277619,0.010040344467906174
6.4,,0.02818754399234781,0.03198595071839732,0.007016438396384072,0.008595121553713971
6.5,,0.024130184745087116,0.02693743429976193,0.006072748287339936,0.007304319753888411
6.6,,0.020506351655068384,0.022428348527851163,0.005229890843502206,0.006151439274295265
6.7,,0.017269722738567916,0.018401055594149347,0.004477092161154845,0.005121743312911785
6.8,,0.014378925485244939,0.014804076251933009,0.0038047295210818332,0.004202069685283334
6.9,,0.011797008010177959,0.011591431778008815,0.003204208385263275,0.003380662577675691
7.0,,0.009490966712956805,0.00872205624540535,0.00266785253639331,0.0026470222772919387
7.1,,0.007431324406088938,0.0061592715943398196,0.0021888059559180147,0.001991770958716477
7.2,,0.005591753520107027,0.0038703187915054464,0.001760945186340185,0.0014065328109889143
7.3,,0.003948739568962084,0.001825939084679526,0.0013788010575539998,0.0008838269730209678
7.4,,0.0024812805739171497,,0.0010374887766691583,0.0004169719087934
7.5,,0.001170618603799584,,0.0007326454876911592,
7.6,,,,0.00046037450290852195,
7.7,,,,0.00021719549311947193,
