ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.3599001872626889,1.2000000000000002,0.5211533782839022,1.9013722749019388
M02,Motagua GAP,7.3,0.4386560896183249,1.2000000000000002,0.5211533782839022,1.9873143650825438
P01,1816 Earthquake,7.7,0.08533317995943808,1.2000000000000002,0.5211533782839022,1.2763081322897127
P02,1785 Earthquake,7.4,0.11334378648542585,1.2000000000000002,0.5211533782839022,1.3995879193377379
Z,Zone,5.8,1.7481267355276644,1.2300000000000002,0.5341822127409998,2.646392872214757
