ID_Fault,Name_Fault,slip_rate,Area,MmaxFault
M01,1976 Earthquake,11.97,4186.9235,7.5
M02,Motagua GAP,13.97,2803.3181,7.3
P01,1816 Earthquake,3.7,5015.8317,7.7
P02,1785 Earthquake,3.7,3415.02804,7.4
