m,Zone,M01,M02,P01,P02
4.5,1.4053988924850385,0.4894527746782974,0.5791184806099045,0.1195955745311781,0.15186530556067035
4.6,1.2140766281657283,0.42628301704090377,0.504024689046831,0.10421519282202496,0.13222240136120744
4.7,1.0445586047526152,0.37114575949100714,0.43847962633535903,0.09079053996232649,0.11507723715002462
4.8,0.8943598792455367,0.32301961046294647,0.38126910125163926,0.07907293062001998,0.10011220688548432
4.9,0.7612787077586963,0.2810130558537498,0.33133331593150367,0.06884530163520679,0.08705009047410969
5.0,0.6433642704389527,0.24434794414687744,0.28774723361728505,0.05991819102798454,0.07564891839973135
5.1,0.5388880746473743,0.2123450715241578,0.24970344279027215,0.05212622830505865,0.06569748935287403
5.2,0.44631861720696164,0.18441159993694217,0.21649720025497224,0.04532507104972608,0.05701145782659042
5.3,0.36429893429366855,0.160030075062208,0.18751337610540214,0.039388731047011835,0.049429919203309025
5.4,0.2916267098774512,0.13874884070645577,0.1622150587351011,0.034207240411694616,0.04281242907304914
5.5,0.2272366511255281,0.12017367208877167,0.14013360880407255,0.029684614485348718,0.037036401567285035
5.6,0.17018487241114383,0.10396047301359043,0.12085997791710573,0.025737073766035217,0.03199483851382662
5.7,0.1196350590150213,0.08980890165174549,0.10403713119610965,0.022291491932733193,0.02759434734638809
5.8,0.07484620769497384,0.07745680685042085,0.08935343337820126,0.019284041214898563,0.02375341105155771
5.9,0.03516176441425562,0.06667537190728233,0.07653687592014914,0.016659010013263677,0.020400878104756468
6.0,,0.05726487584950752,0.06535003816902009,0.014367770868863674,0.017474644421965328
6.1,,0.04905099369741462,0.055585689257100425,0.012367879662404373,0.014920502911000746
6.2,,0.041881567176829754,0.04706294924828208,0.010622289357067393,0.012691139310821706
6.3,,0.03562378605916801,0.039623938422968144,0.009098663719710274,0.010745255717266903
6.4,,0.03016172791488986,0.03313085263108897,0.007768778307472168,0.009046805558951891
6.5,,0.025394210705431734,0.027463410535530117,0.006607997623345928,0.007564325851617359
6.6,,0.02123291843389303,0.022516625457365148,0.005594818755271124,0.006270354361256378
6.7,,0.01760076513304822,0.018198860547383712,0.004710473044878771,0.005140920879244346
6.8,,0.014430466884336239,0.014430131256888093,0.003938578406989801,0.004155103185584063
6.9,,0.011663295415156065,0.011140623661834515,0.0032648358592508578,0.003294639474695653
7.0,,0.009247990185449195,0.008269401192976351,0.002676764640262749,0.00254359006412281
7.1,,0.0071398088104880795,0.005763275814797428,0.0021634710093903185,0.0018880421194693092
7.2,,0.005299698229403332,0.0035758227423609503,0.0017154464453799328,0.0013158519257353777
7.3,,0.0036935712657389696,0.0016665204441699546,0.0013243915055094963,0.0008164199307524218
7.4,,0.0022916751786630544,,0.0009830620823452667,0.0003804943935024058
7.5,,0.0010680405075440605,,0.0006851352100847405,
7.6,,,,0.0004250919346117358,
7.7,,,,0.00019811507748688912,
