ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.4894527746782974,1.3600000000000003,0.5906404953884226,2.3475930240876943
M02,Motagua GAP,7.3,0.5791184806099045,1.3600000000000003,0.5906404953884226,2.420649653443649
P01,1816 Earthquake,7.7,0.1195955745311781,1.3600000000000003,0.5906404953884226,1.7355973387309922
P02,1785 Earthquake,7.4,0.15186530556067035,1.3600000000000003,0.5906404953884226,1.8393407975507157
Z,Zone,5.9,1.4053988924850385,1.2100000000000002,0.5254963231029347,2.5125330609217524
