m,Zone,ES638,ES639,ES640,ES641,ES643,ES644,ES646,ES648,ES651,ES653,ES655,ES656,ES658,ES660,ES662,ES664,ES666,ES673,ES675
4.0,0.7370547306545319,0.00253898288751635,0.001985071801904556,0.0038179905761208553,0.03350001043187348,0.0030532583617244612,0.004426993834458492,0.029080503502924394,0.004081482704452873,0.010103803886618173,0.02269901135259433,0.002240821416711932,0.014420882317569366,0.008045043766615382,0.0068108301437548495,0.020849977420220912,0.02117590156938221,0.02500047803257084,0.03272500232048879,0.003813041284808096
4.1,0.5942397861469246,0.0021126087543946992,0.0016470126041306578,0.0031677839538549178,0.027852673364447435,0.002540521393871103,0.003677250291551503,0.02419698320321514,0.0033902539795941673,0.00841247563991597,0.01890940671090192,0.0018645178607767498,0.012013313031001525,0.0067073731434652405,0.005670729886971359,0.01735979133291692,0.017619809592903067,0.020785968112228347,0.027283729964918412,0.003174756486012762
4.2,0.47254091821321276,0.0017564711420818818,0.00136464182653653,0.0026246857310138413,0.023135620938227786,0.002112247478333855,0.003051011843963349,0.020117924170045768,0.0028128912164478944,0.006999759537727172,0.01574406284067038,0.001550202710055958,0.010002342124022729,0.005590056719267977,0.004718438104457773,0.014444542861909848,0.014649511895911413,0.01726571352006898,0.022738797254134847,0.0026416162071823852
4.3,0.36883598377928045,0.0014590000033538474,0.0011287859274391164,0.002171051963604287,0.019195607560941227,0.0017545230343611227,0.002527933523452522,0.01671080766905131,0.002330637299213709,0.005819759860387819,0.013100145396992691,0.001287664627663635,0.008322638029408622,0.004656795593415438,0.003923017145952428,0.012009522655215368,0.012168510710590769,0.01432534972265451,0.01894255034794863,0.002196300013771869
4.4,0.2804644680162574,0.0012105312224197312,0.0009317825207374247,0.0017921451907968176,0.01590463175433186,0.0014557264624170403,0.002091021784094792,0.013864944748962847,0.0019278249678115976,0.004834141280431349,0.010891759914858088,0.0010683743880802903,0.006919631235191924,0.003877270375522669,0.0032586257137807145,0.00997562281237896,0.010096204326016388,0.011869351431962086,0.0157716583920491,0.0018243406627570056
4.5,0.2051592297372676,0.0010029926512397898,0.000767231443572961,0.0014756556505687581,0.013155777696595851,0.0012061505866003417,0.001726082423193392,0.011487880226053043,0.0015913678266022868,0.0040108834407802255,0.009047161306317922,0.0008852077833030804,0.005747741453575085,0.0032261561819729536,0.0027036793417708057,0.008276766860663629,0.008365268534064003,0.009817929220469687,0.013123106797682577,0.0015136540969984192
4.6,0.14098833866120575,0.0008296418650143269,0.0006297868305618467,0.001211301365393011,0.010859741786651961,0.0009976872920437745,0.0014212594460609855,0.009502389039463937,0.001310335199133554,0.003323240691008845,0.0075064230365936395,0.0007322141746073354,0.004768896827933278,0.002682299891873803,0.0022401491683001714,0.006857763090717068,0.006919469429180599,0.008104437356182654,0.010910850547522392,0.0012541468635346028
4.7,0.08630551239831231,0.000684847117155474,0.000514983439594713,0.0009904941057267884,0.008941931386745254,0.0008235641119280202,0.0011666498935085866,0.007843967396286435,0.0010755970169742798,0.0027488731860318746,0.006219490256311599,0.000604423170727467,0.0039512970705346566,0.0022280329334653354,0.0018529762223098503,0.00567251151180041,0.005711836505186409,0.006673208644448125,0.009063018801755184,0.0010373882017765265
4.8,0.03970788163526902,0.0005639043775001694,0.00041909158695086494,0.0008060603792642409,0.007340041488568461,0.0006781242064611325,0.000953982118720817,0.006458737199780547,0.000879527205935807,0.002269121118722001,0.0051445536408533344,0.0004976831519002716,0.0032683803483225136,0.0018485972750783425,0.0015295821938597933,0.004682506174903159,0.004703136697454579,0.005477745935819757,0.007519579988815763,0.0008563361485446352
4.9,,0.00046288450977962357,0.0003389959789204187,0.0006520083815704985,0.006002030574660734,0.0005566425858741684,0.0007763470615134699,0.005301695680691783,0.0007157559334183319,0.001868398508035083,0.004246691106805782,0.00040852639380843593,0.002697960353384077,0.0015316659724804605,0.001259460795347168,0.0038555842078546957,0.0038605997957998936,0.0044792115464494355,0.0062303915252314756,0.0007051087617651869
5.0,,0.0003785056235119444,0.00027209450346771344,0.0005233333368885175,0.004884429915730437,0.0004551726069639109,0.0006279737897258356,0.0043352533664308916,0.0005789626679995674,0.0015336868482893442,0.003496733278173621,0.0003340564096283247,0.002221505523618632,0.0012669426963566773,0.001033836437704819,0.0031648809216175,0.0031568538198329865,0.0036451655159386617,0.005153570804704454,0.0005787930304387429
5.1,,0.0003080264533404924,0.00021621369392260626,0.00041585490511364414,0.00395093137707235,0.00037041775622764284,0.0005040420156319961,0.0035280128902813977,0.0004647033282735975,0.001254112169491703,0.002870315844102498,0.0002718538501984091,0.0018235369972325268,0.0010458272295432803,0.0008453791327973615,0.002587957041699697,0.002569035769707276,0.0029485117117071954,0.004254134533817811,0.0004732852628291344
5.2,,0.0002491573019712931,0.00016953811832003197,0.00032608137268289457,0.003171207855335304,0.00029962455413503,0.00040052549648406175,0.0028537489671082794,0.00036926590542497525,0.0010205917684271608,0.002347088021514209,0.0002198979052330617,0.0014911257420629753,0.0008611360668317539,0.0006879663598853124,0.002106069710552547,0.0020780488627074162,0.0023666175413663165,0.0035028622096833642,0.00038515776747232626
5.3,,0.00019998565346153935,0.0001305514004187265,0.00025109621527032486,0.0025199280244916525,0.0002404931012566517,0.00031406123165080675,0.0022905563974524694,0.0002895498690656588,0.0008255391336611336,0.0019100514075246248,0.00017650065209778311,0.001213472522682015,0.0007068690403079018,0.0005564841597762292,0.0017035635775888489,0.0016679421250974725,0.0018805786746866984,0.002875346816676141,0.00031154749579449836
5.4,,0.00015891404021535653,9.798695631507144e-05,0.0001884633469856202,0.001975933382494978,0.00019110236010987298,0.00024184020688401353,0.001820138420730803,0.00022296543852294372,0.0006626174781837881,0.001545007742563078,0.00014025221929681045,0.0009815570594306597,0.0005780143884495356,0.0004466609946942959,0.0013673621948139265,0.0013253921836728275,0.0014746048877611188,0.00235120190169517,0.00025006302860811785
