m,Zone,M01,M02,P01,P02
4.5,1.6525261200702592,0.3959491238780943,0.47817074455356146,0.09476165767481035,0.12412170737443579
4.6,1.3963574332071877,0.3484378095327557,0.42044588558983603,0.08344393543970438,0.10918576254687722
4.7,1.1756504044017433,0.30650922178527173,0.36950387635221615,0.07345608062291063,0.09600483749938248
4.8,0.9854960449418578,0.26950737296837035,0.3245477109885804,0.06464182968362545,0.08437271197176854
4.9,0.8216649217678249,0.2368533559975517,0.2848740343030912,0.056863280531102976,0.07410739722317412
5.0,0.6805130859818719,0.2080362871638592,0.24986213751400402,0.049998734997399805,0.06504828875348351
5.1,0.5589010237574045,0.18260531317655856,0.21896424704402326,0.043940794826255875,0.05705365358880373
5.2,0.45412382694563364,0.16016255740305627,0.191696954407867,0.03859468138917852,0.04999841281867989
5.3,0.3638510302269216,0.140356894947478,0.16763365311459144,0.03387675284009191,0.04377218469205707
5.4,0.28607477665852776,0.12287845917679409,0.14639786425731577,0.029713195508907504,0.0382775576555273
5.5,0.21906515871144974,0.10745379374714183,0.12765734636682965,0.026038869060403903,0.033428566314932254
5.6,0.16133174148706833,0.09384157428206992,0.1111188973756443,0.022796287350514803,0.029149346476197564
5.7,0.11159041230896513,0.08182883276684229,0.09652376736737,0.019934719035160225,0.02537294822303567
5.8,0.06873481935508956,0.07122762558810446,0.08364361034224838,0.01740939386032557,0.022040288461694393
5.9,0.03181176406534893,0.061872093089210795,0.07227691166277539,0.015180802215515106,0.01909922654494243
6.0,,0.05361586463690758,0.06224583528552799,0.013214076991843944,0.016503748513099277
6.1,,0.04632976860071916,0.05339344145301765,0.011478448073719151,0.014213247189271338
6.2,,0.03989981141684904,0.04558123131536836,0.009946760929437777,0.01219188686562728
6.3,,0.03422539411833204,0.03868698006655283,0.008595051768880809,0.01040804264100399
6.4,,0.029217738428418374,0.032602824693833195,0.007402172621494072,0.008833805638080528
6.5,,0.024798497792859406,0.02723357642256464,0.006349460468767511,0.007444546359066504
6.6,,0.020898531620202637,0.022495231453962455,0.005420445254673163,0.006218529348449722
6.7,,0.01745682355264839,0.01831365669579378,0.004600592205780946,0.005136573134064401
6.8,,0.014419526843431304,0.014623429923783937,0.0038770744295590167,0.004181750126137186
6.9,,0.011739121905316842,0.011366816227650503,0.0032385722330782697,0.003339121779124912
7.0,,0.009373672849758374,0.008492864727898175,0.0026750960223905496,0.0025955048728566027
7.1,,0.007286171385006399,0.0059566114311884275,0.0021778300117785386,0.001939265256365289
7.2,,0.005443957808221945,0.003718375752672071,0.0017389942976528334,0.0013601358274583928
7.3,,0.003818210032810376,0.0017431396991270573,0.0013517231391933998,0.0008490559002524713
7.4,,0.002383492656625871,,0.0010099575413926015,0.00039802944752008516
7.5,,0.0011173590160587644,,0.0007083504599234286,
7.6,,,,0.0004421831447292997,
7.7,,,,0.00020729131350122334,
