ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.3959491238780943,1.2500000000000002,0.5428681023790648,2.040545847039213
M02,Motagua GAP,7.3,0.47817074455356146,1.2500000000000002,0.5428681023790648,2.122489462289773
P01,1816 Earthquake,7.7,0.09476165767481035,1.2500000000000002,0.5428681023790648,1.4195391099781958
P02,1785 Earthquake,7.4,0.12412170737443579,1.2500000000000002,0.5428681023790648,1.5367542016607496
Z,Zone,5.9,1.6525261200702592,1.4900000000000004,0.6470987780358454,3.13009283389552
