m,Zone,M01,M02,P01,P02
4.5,1.6319523663086637,0.4036105821950836,0.48652272014517484,0.09677661600304063,0.12640603052200466
4.6,1.3518201325153616,0.35484793699964634,0.4273949918854488,0.08513768248654165,0.11109192410597289
4.7,1.1168962035439116,0.31185806502691643,0.37526710879509867,0.07487662589767097,0.097590780524378
4.8,0.9198847719922539,0.27395755563443985,0.32931039313125615,0.06583032606523785,0.08568797189428941
4.9,0.754667442570051,0.24054390385337815,0.2887942702926085,0.057854973824510464,0.07519427908758153
5.0,0.6161132189576677,0.21108593235794304,0.2530746548639562,0.05082378488075784,0.06594288371160352
5.1,0.49991915536901527,0.1851153473314447,0.22158371158066226,0.044624984317406094,0.05778671619467787
5.2,0.40247672408656,0.16221929399243268,0.19382082844289583,0.039160029708505795,0.05059611781890358
5.3,0.3207597488730067,0.14203379343601466,0.16934465847912797,0.03434204458830183,0.04425677953356423
5.4,0.2522304239150102,0.12423795645572155,0.14776610364667578,0.030094437374748404,0.03866792478242652
5.5,0.19476049961928468,0.10854888236295786,0.12874212933425602,0.026349683791975397,0.03374070745730749
5.6,0.14656518760386852,0.09471716171049234,0.11197031113560042,0.02304825343585732,0.029396799510154094
5.7,0.10614773223519923,0.08252291142671794,0.09718402720411334,0.02013766341828216,0.02556714577088319
5.8,0.07225292732230987,0.07177227933114952,0.08414821976135926,0.017571644045888294,0.022190866176302327
5.9,0.043828134380658725,0.062294362463390096,0.07265565838001752,0.015309403270051997,0.019214287958827948
6.0,0.019990591847157593,0.05393849023619442,0.06252364563865691,0.01331497821507588,0.016590092409690418
6.1,,0.046571829222873444,0.05359111277807459,0.011556663475812096,0.014276562652707794
6.2,,0.04007727150230916,0.04571605918880453,0.010006507096359044,0.0122369204704767
6.3,,0.03435157299256781,0.038773295025289006,0.008639866217397202,0.010438741640496036
6.4,,0.029303712178174155,0.032652451061017884,0.007435015328283308,0.008853440486813455
6.5,,0.024853443139708494,0.027256224147271794,0.006372800896280298,0.007455815453104012
6.6,,0.020930019883216595,0.022498830383500985,0.005436336882558829,0.0062236484731495924
6.7,,0.017471071690078003,0.018304641409365805,0.004610736304583594,0.005137351769905492
6.8,,0.014421611608752345,0.01460698213955292,0.0038828745775276565,0.004179656468313615
6.9,,0.01173316232638228,0.011347070828939555,0.0032411808725497236,0.003335338071735493
7.0,,0.00936298552422061,0.008473084618305628,0.0026754541751537204,0.0025909744378998533
7.1,,0.007273402465933213,0.005939335705559911,0.002176701119507648,0.0019347324069046896
7.2,,0.005431195018159975,0.0037055450460619825,0.001736993020771482,0.0013561796892960591
7.3,,0.003807077581348102,0.0017362020360424883,0.0013493398326747694,0.0008461190238053967
7.4,,0.0023752315361349288,,0.0010075790266457834,0.0003964419683485994
7.5,,0.0011128948043668744,,0.0007062776260019616,
7.6,,,,0.00044064583783773016,
7.7,,,,0.00020646090961451614,
