ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.4036105821950836,1.2600000000000002,0.5472110471980973,2.068412256796456
M02,Motagua GAP,7.3,0.48652272014517484,1.2600000000000002,0.5472110471980973,2.1495528386058367
P01,1816 Earthquake,7.7,0.09677661600304063,1.2600000000000002,0.5472110471980973,1.4482201444138811
P02,1785 Earthquake,7.4,0.12640603052200466,1.2600000000000002,0.5472110471980973,1.5642175059577017
Z,Zone,6.0,1.6319523663086637,1.760000000000001,0.7643582881497235,3.6523197750185554
