m,Zone,M01,M02,P01,P02
4.5,1.4787525554708978,0.4618424114257115,0.5495220926000604,0.11220967554062924,0.14370223438018673
4.6,1.240743112961848,0.4033800615802864,0.47961007776512216,0.09806001223556016,0.12546897986182276
4.7,1.0381275617052608,0.35219831508796656,0.4184045492581437,0.08567247594687985,0.10950640201546065
4.8,0.8656425494375235,0.3073904826807797,0.3648212456062153,0.0748276203489095,0.09553172233090175
4.9,0.7188074261091789,0.26816278955522765,0.3179109337390878,0.06533332784392615,0.08329737809366888
5.0,0.5938078498597185,0.2338203135798514,0.2768425932394817,0.05702140618154321,0.07258663678912933
5.1,0.48739670170679894,0.20375467468682557,0.2408886947412398,0.04974460891778428,0.06320975666639744
5.2,0.39680973500681005,0.17743325736403345,0.20941231168080682,0.04337402693101068,0.05500062544605702
5.3,0.319693768509462,0.154389775323102,0.1818558370855541,0.03779680478517349,0.04781381762610874
5.4,0.2540455576745049,0.13421601119563098,0.15773110551582797,0.03291414148555701,0.04152201825604964
5.5,0.19815975630833527,0.11655458492559408,0.13661074517003846,0.028639540210222185,0.03601376754101097
5.6,0.15058461671784637,0.1010926227493238,0.11812060695454127,0.024897276010982884,0.031191486321411405
5.7,0.11008427760264676,0.08755621460849312,0.10193313639860721,0.021621054339100512,0.026969747449320302
5.8,0.0756066600367265,0.07570556180865878,0.08776157099734828,0.01875283663135724,0.023273762438805856
5.9,0.046256137572193934,0.06533072896370282,0.07535486018800973,0.016241812151659783,0.020038056581143212
6.0,0.021270270515285017,0.056247924971480255,0.0644932179665452,0.014043497874254055,0.017205309054427673
6.1,,0.04829624713782328,0.054984229358678284,0.012118950462901035,0.014725337480030775
6.2,,0.04133483077076149,0.046659441771230825,0.010434076386153164,0.01255420893722426
6.3,,0.035240353749764225,0.03937138083920017,0.008959027947361406,0.010653461687516172
6.4,,0.029904851863221994,0.032990937904045524,0.0076676745300296644,0.00898942382147496
6.5,,0.02523380621267385,0.02740508284212569,0.00653713969158037,0.007532616757808732
6.6,,0.021144468801972436,0.022514861725835784,0.0055473959051051845,0.006257233027631467
6.7,,0.017564396649048877,0.018233643845830788,0.0046809097699146,0.005140679092817798
6.8,,0.014430168451933562,0.014485587040174438,0.003922331405758992,0.004163175099431727
6.9,,0.011686261074656132,0.011204294143581643,0.0032582225283117904,0.003307404475825308
7.0,,0.009284065949870007,0.00833163675563017,0.0026768183887472224,0.0025582071680057333
7.1,,0.007181027973685882,0.005816725490890294,0.002167819360150907,0.0019023110779078267
7.2,,0.005339891638157578,0.00361500846885938,0.001722208478697553,0.0013280969469764718
7.3,,0.003728041046589506,0.0016874820733696616,0.0013320917073213266,0.0008253925199505014
7.4,,0.002316922119976787,,0.0009905580921352622,0.0003852923424407234
7.5,,0.0010815367589133513,,0.0006915573342581522,
7.6,,,,0.00042979260822267234,
7.7,,,,0.00020062672823319686,
