ID,Name,Mmax,NMmin_Mmax,Beta,b,a
M01,1976 Earthquake,7.5,0.4618424114257115,1.3300000000000003,0.577611660931325,2.263746286276691
M02,Motagua GAP,7.3,0.5495220926000604,1.3300000000000003,0.577611660931325,2.339237631371628
P01,1816 Earthquake,7.7,0.11220967554062924,1.3300000000000003,0.577611660931325,1.6492827807789698
P02,1785 Earthquake,7.4,0.14370223438018673,1.3300000000000003,0.577611660931325,1.7567159950840012
Z,Zone,6.0,1.4787525554708978,1.6100000000000003,0.6992141158642355,3.3163590295413274
